objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
249,Thomas I Guerin Recreation Center,0,2,N, ,Nearmap 2023,39.92324936748868,-75.17272528198484
251,Franklin Square,0,5,N, ,Nearmap 2023,39.955743131972035,-75.15000438959069
252,Shot Tower Recreation Center,0,2,N, ,Nearmap 2023,39.93486940145658,-75.1463822543125
253,Victor J Moss Memorial Field,0,4,N,Installed 10/2019 during renovations.,Nearmap 2023,40.01599990984507,-75.06277503642534
254,Karen Donnelly Park,0,3,N,Installed between 2008-2010,Nearmap 2023,39.92907425145628,-75.14936407165621
255,Bartrams Garden,0,3,N,Non-fixed picnic tables near the boat launch,Nearmap 2023,39.933364360850426,-75.20848982046887
256,Bartrams Garden,0,1,N,In the Sankofa Community Farm,Nearmap 2023,39.93102073278925,-75.21340711572343
257,Bartrams Garden,0,3,N,To the east of the Sankofa Community Farm,Nearmap 2023,39.93024691962171,-75.2125034601388
258,Roberto Clemente Playground,0,1,N, ,Nearmap 2023,39.96561680342947,-75.16753095810766
259,Pennypack on the Delaware,0,1,N,Along the Baxter Trail west of bridge.,Nearmap 2023,40.03298619148022,-75.00782961054003
260,Pine Road Picnic Shelter,0,0,Y,Picnic Shelter unable to see number of tables from aerials,GIS Review 2023,40.08843939678442,-75.06749912053837
261,Pennypack Park,0,5,N,Located next to the Pennypack Environmental Education Center,Nearmap 2023,40.08778656971788,-75.05928638997553
262,Wissahickon Valley Park,0,4,N,Located next to Valley Green Inn,Nearmap 2023,40.05436879212199,-75.21823817098911
263,Wissahickon Valley Park,0,3,N,"Located at Monastery Stables; Non-fixed tables.",Nearmap 2023,40.03664430023603,-75.20447716546917
264,Glen Foerd on the Delaware,0,3,N,Located to the north of the Carriage House and Water Tower,Nearmap 2023,40.05312450998247,-74.98024078690742
265,Pennypack Park,0,2,N,"Located at the Pegasus Riding Academy; Non-Fixed tables",Nearmap 2023,40.06685601277311,-75.05049805370749
266,Pennypack Park,0,1,N,"Solly Stables Campus Location; Non-Fixed tables",Nearmap 2023,40.07280953551572,-75.068768482581
267,Verree and Susquehanna Playground,0,1,N,Fixed table underneath the tree.,Nearmap 2023,40.08049267107942,-75.06752123148712
268,Pennypack Park,0,1,N,"Non-Fixed Table next to fire pit, just south of the Pine Road Picnic Shelter",Nearmap 2023,40.08819621495269,-75.06772356010929
269,Pennypack Park,0,3,Y,Mix of Fixed and Non-Fixed Tables at the Pine Road Trailhead Parking Lot,Nearmap 2023,40.08970264618895,-75.06884762397621
270,Burholme Park,0,5,N,Fixed tables around the playgrounds,Nearmap 2023,40.068975498339256,-75.09009568927094
271,Fox Chase Farm,0,25,N,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible.",Nearmap 2023,40.09026947779425,-75.07488325375098
272,Fox Chase Farm,0,8,N,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible. Behind the Manor House",Nearmap 2023,40.09077794982589,-75.07392205610013
273,Ann P Nichols Park,0,2,N,Non-Fixed Tables,Nearmap 2023,39.963598207946966,-75.22953292455273
274,John J McCreesh Sr Playground,0,4,N,Renovated during 2020 Site Upgrades. Mix of fix and non-fixed tables.,Nearmap 2023,39.92563194125308,-75.24067052285373
275,Gold Star Park,0,2,N,"2 fixed tables (1 standard, 1 ADA)",Nearmap 2023,39.93288925219609,-75.15507856640177
276,Historic Rittenhouse Town,0,7,N,7 Non-Fixed Tables located near Rittenhouse Building 211.,Nearmap 2023,40.029063857042644,-75.1919757396993
277,Hancock Playground,0,2,N,Rebuild Site Renovations in 2020. Fixed Tables.,Nearmap 2023,39.972402636827866,-75.13721954001427
278,Hancock Playground,0,3,N,Rebuild Site Renovations in 2020. Fixed Tables.,Nearmap 2023,39.97275948992646,-75.13740113522518
279,Miles Mack Playground,0,5,N,5 fixed tables installed in 2021,Nearmap 2023,39.96720099145039,-75.19608747998157
280,8th and Diamond Playground,0,5,N,"2 fixed picnic tables, 3 smaller game tables; Installed 2020-2021 (Rebuild)",Nearmap 2023,39.983322855407785,-75.14727771322544
281,Fisher Park,0,3,N,Non-fixed tables,Nearmap 2023,40.04355188239663,-75.13068801399726
282,Carmella DiTizio Playground,0,5,N, ,Nearmap 2023,40.01115904471476,-75.07319581281239
283,Dr Martin Luther King Jr Recreation Center,0,3,N, ,Nearmap 2023,39.98033904128274,-75.16941869777541
284,Columbus Square,0,6,N, ,Nearmap 2023,39.93295916166709,-75.16439459567347
285,Jacob Stinger Park,0,3,N,Fixed tables,NearMap 2023,39.93598531885194,-75.19822121861516
286,Marie Dendy Recreation Center,0,2,N, ,Nearmap 2023,39.975206664569725,-75.1511344715391
287,Benson Park,0,4,N, ,Nearmap 2023,39.97356853967676,-75.14311564243437
288,Von Colln Field,0,4,N, ,Nearmap 2023,39.9638095262565,-75.1762185897108
289,Carousel House Recreation Center,0,3,N,Non-fixed tables,Nearmap 2023,39.97854638133063,-75.21283372236523
290,Woodside Park,0,1,N, ,Nearmap 2023,40.00221773313201,-75.20834962170377
291,Carousel House Recreation Center,0,2,N,Non-fixed tables,Nearmap 2023,39.97948895751866,-75.21359774315334
292,Jacob Stinger Park,0,2,N,Fixed tables,NearMap 2023,39.93648029150554,-75.19776051744236
293,Stephen E Fotterall Square,0,2,N, ,"Nearmap 2023; visted site 8/23/23",39.98915847512481,-75.15029675627774
294,Stephen E Fotterall Square,0,2,N, ,"Nearmap 2023; visted site 8/23/23",39.9898055676103,-75.15015626379754
